description.year_built,description.sold_price,description.baths,description.garage,description.stories,description.beds,num_days,central_air,dishwasher,fireplace,basement,price_per_sqft,median_value_per_sqft,description.type_encoded,city_encoded
1968,130000,1,1,1,3,70,1,0,0,0,138,0,1,47
2001,366000,2,2,1,3,72,0,0,0,0,302,2,1,58
1980,490000,2,2,1,3,116,1,1,1,0,245,2,1,58
2005,707500,3,2,2,4,68,1,1,1,0,227,1,1,53
2023,599900,3,2,2,3,44,1,1,0,0,389,4,1,56
1952,330000,2,1,2,4,57,1,0,0,1,152,1,1,31
2023,718000,3,3,1,3,125,1,1,1,0,250,2,1,20
1957,208000,1,1,2,3,28,1,0,0,1,190,0,1,28
1950,467500,2,1,2,4,27,1,1,1,1,252,1,1,7
1980,333900,2,1,1,3,39,0,0,1,0,259,1,1,58
1965,57000,1,1,1,1,42,0,0,0,0,89,0,0,29
1994,325000,3,2,2,4,28,0,1,1,1,112,0,1,22
2001,470000,2,2,1,3,53,0,0,0,0,308,4,1,50
2006,530000,3,2,2,4,41,0,1,1,0,232,0,1,49
1920,142000,1,1,2,3,60,0,0,0,1,122,1,2,26
1950,127000,1,1,1,2,44,1,0,1,0,26,0,1,31
1974,513000,3,2,2,4,39,1,1,1,0,278,0,1,56
1954,140267,3,1,1,3,99,0,0,0,0,63,0,1,43
2007,895000,5,3,3,4,77,1,0,1,1,155,1,1,3
2006,330000,3,2,2,3,46,1,1,1,0,137,1,1,7
1992,497000,2,1,2,5,81,1,1,0,1,295,1,1,26
2006,455000,2,2,1,3,52,0,0,1,0,147,2,1,36
1959,259500,2,2,1,3,40,1,0,1,1,239,0,1,17
1952,145000,1,1,2,3,85,1,0,0,1,108,0,1,32
1953,354900,3,2,1,3,97,1,1,1,1,227,0,1,17
2003,368000,2,1,1,2,62,1,1,1,0,361,3,0,16
1945,245000,2,1,2,3,117,0,0,0,1,134,0,2,64
1961,145000,1,1,1,3,84,1,0,0,1,165,0,1,17
1985,311500,3,1,2,2,172,1,1,1,0,204,1,2,53
2004,318000,3,2,2,3,40,0,0,0,1,149,2,1,22
