,price_reduced_amount,description.year_built,description.sold_price,description.lot_sqft,description.sqft,description.baths,description.garage,description.stories,description.beds,description.type,location.address.state,location.address.city,central_air,dishwasher,basement,fireplace,hardwood_floors,washer_dryer,recreation_facilities,view,fenced_yard,new_roof,updated_kitchen,rental_property,ensuite,median_sold_state
136,9901.0,2013.0,580000.0,2312.0,2980.0,4.0,2.0,3.0,3.0,townhomes,Maryland,Annapolis,1,1,1,0,1,1,0,0,1,0,0,0,0,479835.6
137,0.0,1977.0,370000.0,1206.0,1518.0,3.0,0.0,2.0,3.0,townhomes,Maryland,Annapolis,1,1,0,1,1,1,1,0,1,1,0,0,1,479835.6
138,0.0,1965.0,450000.0,11165.0,1100.0,2.0,1.0,2.0,4.0,single_family,Maryland,Annapolis,1,0,1,1,0,0,1,0,0,1,0,0,0,479835.6
139,0.0,1996.0,372500.0,150154.4532274767,1577.0,2.0,0.0,2.0,2.0,condos,Maryland,Annapolis,1,0,0,0,0,0,1,0,0,0,0,0,0,479835.6
140,0.0,1969.0,700000.0,9350.0,2400.0,3.0,0.0,2.0,5.0,single_family,Maryland,Annapolis,1,1,1,1,1,1,0,0,1,0,0,0,0,479835.6
141,0.0,1983.0,314000.0,1216.0,1086.0,2.0,0.0,3.0,1.0,townhomes,Maryland,Annapolis,1,1,1,1,0,1,1,0,0,0,0,0,1,479835.6
142,0.0,1997.0,459900.0,150154.4532274767,2106.0,4.0,0.0,3.0,3.0,condos,Maryland,Annapolis,1,1,1,1,1,1,1,0,0,0,1,0,0,479835.6
143,0.0,1977.0,365000.0,1024.0,1746.0,3.0,0.0,3.0,3.0,townhomes,Maryland,Annapolis,1,0,1,1,0,0,1,0,1,0,0,0,0,479835.6
144,0.0,1976.0,565000.0,33316.0,2596.0,3.0,2.0,3.0,3.0,single_family,Maryland,Annapolis,1,0,1,1,0,0,0,0,0,0,0,0,0,479835.6
145,0.0,1975.0,850000.0,61196.0,4415.0,4.0,2.0,2.0,4.0,single_family,Maryland,Annapolis,1,1,1,1,1,1,1,0,0,0,0,0,1,479835.6
146,0.0,1947.0,450000.0,8030.0,1526.0,2.0,0.0,2.0,3.0,single_family,Maryland,Annapolis,1,1,1,1,1,0,0,0,0,0,0,0,0,479835.6
147,0.0,1967.0,1195000.0,20300.0,2433.0,3.0,2.0,2.0,4.0,single_family,Maryland,Annapolis,1,0,1,1,0,0,1,0,0,0,0,0,0,479835.6
148,11500.0,1965.0,219000.0,150154.4532274767,1096.0,2.0,0.0,2.0,3.0,condos,Maryland,Annapolis,1,0,0,0,0,0,1,0,1,0,0,0,0,479835.6
149,25000.0,1986.0,518444.0,150154.4532274767,1280.0,2.0,0.0,1.0,2.0,condos,Maryland,Annapolis,1,1,0,1,1,1,1,1,0,0,0,0,0,479835.6
150,0.0,2009.0,395000.0,150154.4532274767,1157.0,2.0,0.0,1.0,2.0,condos,Maryland,Annapolis,1,1,0,0,1,1,1,0,0,0,0,0,0,479835.6
151,20000.0,1975.0,430000.0,9000.0,1860.0,2.0,0.0,3.0,4.0,single_family,Maryland,Annapolis,1,1,1,1,0,1,1,0,0,1,0,0,0,479835.6
152,0.0,2007.0,895000.0,15865.0,5766.0,5.0,3.0,3.0,4.0,single_family,Maryland,Annapolis,1,0,1,1,0,0,0,0,0,1,0,0,0,479835.6
153,0.0,1973.0,600000.0,9000.0,2016.0,3.0,1.0,3.0,3.0,single_family,Maryland,Annapolis,1,1,0,1,1,1,0,0,0,0,0,0,0,479835.6
154,0.0,1969.0,287500.0,150154.4532274767,1016.0,2.0,0.0,1.0,2.0,condos,Maryland,Annapolis,1,1,0,0,0,1,1,0,0,0,1,0,1,479835.6
155,0.0,1974.0,999999.0,150154.4532274767,1391.0,2.0,0.0,2.0,2.0,condos,Maryland,Annapolis,1,0,0,1,0,0,1,0,0,0,0,0,0,479835.6
156,0.0,1988.0,520000.0,2040.0,2092.0,3.0,1.0,2.0,3.0,townhomes,Maryland,Annapolis,1,1,0,1,1,1,1,0,0,0,0,0,0,479835.6
157,20000.0,1965.0,430000.0,10000.0,2580.0,1.0,0.0,2.0,2.0,single_family,Maryland,Annapolis,1,1,1,1,1,1,1,0,1,0,0,0,0,479835.6
158,0.0,1978.0,550000.0,15028.0,1590.0,3.0,2.0,2.0,4.0,single_family,Maryland,Annapolis,1,1,1,1,1,1,0,0,0,0,1,0,0,479835.6
159,9900.0,1987.0,343000.0,150154.4532274767,1103.0,2.0,0.0,1.0,2.0,condos,Maryland,Annapolis,1,0,0,0,0,0,1,0,0,0,0,0,0,479835.6
160,0.0,1977.0,420000.0,6501.0,1560.0,2.0,0.0,3.0,4.0,single_family,Maryland,Annapolis,1,1,1,1,0,1,0,0,0,0,0,0,0,479835.6
162,0.0,1978.0,230000.0,150154.4532274767,858.0,1.0,0.0,1.0,1.0,condos,Maryland,Annapolis,1,1,0,0,0,1,1,0,0,0,0,0,0,479835.6
205,0.0,2011.0,445000.0,5663.0,2147.0,2.0,2.0,1.0,3.0,single_family,Arizona,Tolleson,1,1,0,0,0,1,0,0,0,0,1,0,0,405229.4
207,50000.0,2003.0,1206000.0,12197.0,4408.0,5.0,3.0,2.0,5.0,single_family,Arizona,Phoenix,0,0,0,1,1,0,1,1,0,0,0,0,0,405229.4
209,5100.0,1973.0,415000.0,9344.0,1994.0,2.0,2.0,1.0,3.0,single_family,Arizona,Phoenix,0,0,0,1,0,0,1,0,0,1,0,0,0,405229.4
211,40000.0,1949.0,1900000.0,46035.0,1905.674311169774,0.0,0.0,0.0,3.2121163426000323,multi_family,Arizona,Phoenix,0,0,0,0,0,0,0,0,0,1,0,0,0,405229.4
212,0.0,1967.0,359900.0,6810.0,1576.0,2.0,0.0,1.0,3.0,single_family,Arizona,Phoenix,0,0,0,1,0,0,0,0,0,0,0,0,0,405229.4
214,0.0,1930.0,675000.0,6521.0,1544.0,1.0,1.0,1.0,2.0,single_family,Arizona,Phoenix,0,0,1,0,1,0,1,0,0,0,0,0,0,405229.4
215,0.0,1977.0,1701500.0,37462.0,2903.0,3.0,2.0,1.0,3.0,single_family,Arizona,Phoenix,0,0,0,1,0,0,1,1,0,0,0,0,0,405229.4
216,16000.0,1980.0,525000.0,12197.0,2110.0,2.0,2.0,1.0,3.0,single_family,Arizona,Phoenix,0,0,0,1,1,0,1,0,0,0,1,0,0,405229.4
217,0.0,1973.0,385000.0,8006.0,1215.0,2.0,2.0,1.0,3.0,single_family,Arizona,Phoenix,0,0,0,0,0,0,0,0,0,0,1,0,1,405229.4
218,0.0,1955.0,1038712.0,11326.0,2700.0,3.0,2.0,1.0,4.0,single_family,Arizona,Phoenix,0,0,0,1,1,0,0,1,0,1,0,1,0,405229.4
219,0.0,2005.0,690000.0,8880.0,3135.0,4.0,3.0,2.0,4.0,single_family,Arizona,Phoenix,0,0,0,1,0,0,1,1,0,0,0,0,0,405229.4
220,0.0,1993.0,498000.0,5528.0,1350.0,2.0,2.0,1.0,3.0,single_family,Arizona,Phoenix,0,0,0,1,0,0,0,0,0,1,0,0,0,405229.4
221,0.0,1993.0,500000.0,4696.0,1650.0,2.0,2.0,1.0,3.0,single_family,Arizona,Phoenix,0,0,0,0,0,0,0,0,0,0,0,0,0,405229.4
222,16000.0,1979.0,340000.0,8018.0,1156.0,2.0,2.0,1.0,2.0,single_family,Arizona,Glendale,0,0,0,0,0,0,0,0,1,0,0,0,0,405229.4
223,4000.0,1956.0,345000.0,6887.0,1411.0,2.0,0.0,1.0,4.0,single_family,Arizona,Phoenix,0,0,0,0,0,0,0,0,1,1,0,0,0,405229.4
225,0.0,2005.0,1010000.0,14375.0,4015.0,4.0,3.0,1.0,4.0,single_family,Arizona,Phoenix,0,0,0,1,0,0,1,1,0,0,0,0,0,405229.4
226,0.0,2019.0,825000.0,5751.0,3085.0,4.0,3.0,2.0,5.0,single_family,Arizona,Phoenix,0,0,0,0,0,0,1,1,0,0,0,0,0,405229.4
227,0.0,1956.0,432000.0,7410.0,2155.0,2.0,0.0,1.0,5.0,single_family,Arizona,Phoenix,0,0,0,0,0,0,0,0,0,0,0,0,0,405229.4
