description.year_built,description.sold_price,description.baths,description.garage,description.stories,description.beds,num_days,central_air,dishwasher,fireplace,basement,price_per_sqft,median_value_per_sqft,description.type_encoded,city_encoded
1965,65000,1,1,1,1,161,1,1,0,0,100,0,0,24
1989,675000,2,1,1,2,139,1,1,0,1,562,3,0,6
1963,169900,2,1,1,4,40,1,0,1,0,104,0,1,44
1956,395000,2,2,1,3,48,0,0,1,0,290,2,1,54
2000,280000,3,2,2,3,127,1,1,1,1,191,0,1,15
1973,75000,2,2,1,3,54,0,0,0,0,48,0,1,34
1973,385000,2,2,1,3,36,0,0,0,0,316,4,1,47
1966,184900,2,1,1,3,34,0,0,0,0,148,1,1,19
1930,675000,1,1,1,2,25,0,0,0,1,437,2,1,47
1972,245000,2,1,1,2,33,1,1,1,0,215,4,0,36
1957,204000,2,1,1,3,49,1,1,1,1,212,0,1,29
1954,276000,1,1,2,3,29,1,1,0,1,225,2,1,36
1988,229995,3,2,2,3,68,1,0,0,1,154,0,1,23
1984,325000,2,1,2,2,77,0,0,1,0,224,1,0,43
1988,355000,4,2,2,6,39,1,1,0,1,127,0,1,32
1967,185000,2,1,1,3,80,1,1,0,1,77,0,1,29
1948,185000,2,1,1,2,43,1,1,0,1,214,0,1,15
2010,393000,3,2,2,3,8,1,0,0,1,182,1,1,33
1999,180000,2,1,1,3,35,1,1,1,0,121,0,1,40
1983,230000,3,2,3,2,155,1,1,1,1,168,1,0,5
2009,427900,3,2,2,3,33,1,1,1,1,218,1,1,23
2021,405000,3,1,2,3,81,0,0,0,0,355,0,1,7
1960,389900,2,1,1,3,35,0,0,0,0,286,4,1,47
1965,267000,2,1,2,2,53,0,0,0,0,238,1,2,47
1960,207000,2,1,1,3,40,1,0,1,1,128,0,1,11
1900,730000,3,2,2,3,78,0,1,1,0,287,3,1,50
2005,200000,2,1,1,3,57,1,1,0,0,153,0,1,5
1984,163000,2,1,1,4,45,1,0,0,1,90,0,1,29
1978,230000,1,1,1,1,31,1,1,0,0,268,0,0,2
2006,455000,2,2,1,3,52,0,0,1,0,147,2,1,34
1971,185000,3,1,1,4,118,0,0,0,0,122,0,1,58
1973,615000,3,5,1,3,35,0,1,1,0,371,3,1,46
1999,570000,3,2,1,3,78,1,1,1,0,213,2,1,58
1897,222000,3,1,2,4,71,0,1,1,1,128,0,1,53
1980,250000,2,1,1,3,58,1,0,0,0,253,0,1,16
1928,747000,4,2,2,4,90,1,1,1,1,240,3,1,53
1978,505000,2,2,1,4,112,1,1,1,0,319,0,1,52
1968,470000,3,2,2,3,91,0,1,1,1,220,2,1,46
1941,207000,1,1,1,2,55,1,0,0,1,164,1,1,53
2006,440000,3,2,2,3,71,1,1,1,0,198,1,2,49
1952,373000,1,1,1,3,35,1,0,1,0,366,2,1,52
2007,490000,2,2,1,3,27,0,0,1,0,303,1,1,7
1979,140000,1,1,1,3,44,1,1,0,1,136,0,1,29
2005,279000,2,2,2,3,75,1,1,0,1,150,0,2,16
2021,455000,3,2,2,3,69,1,1,0,1,283,3,1,62
2020,810000,3,3,1,4,38,1,1,1,0,303,1,1,58
1960,625000,2,1,4,4,103,1,1,0,1,369,0,1,2
1974,424900,3,1,2,3,133,1,1,1,0,127,1,1,40
1973,300000,2,1,1,3,63,1,1,1,1,153,1,1,29
1920,169400,2,1,2,3,31,1,1,0,1,130,0,1,29
1951,265000,2,1,1,3,38,0,0,0,0,146,1,1,24
2020,415000,3,2,2,3,77,0,0,0,0,273,0,2,7
1921,172900,1,1,1,2,59,1,1,0,1,195,0,1,15
1967,359900,2,1,1,3,57,0,0,1,0,228,3,1,47
1954,75000,1,2,2,2,32,0,0,0,1,55,0,1,28
1940,62500,1,1,1,2,31,0,0,0,1,76,0,1,29
2013,485000,3,2,2,3,86,1,1,1,0,227,2,2,50
2006,520000,2,2,1,3,83,1,1,1,0,190,2,1,26
1897,153000,1,1,3,3,21,0,0,0,1,111,0,1,60
1919,170000,2,1,1,1,68,0,0,0,1,297,1,1,53
1981,115000,2,1,3,2,82,1,1,0,0,143,0,0,16
1965,270000,2,1,1,3,30,1,0,0,1,181,0,1,23
1985,154000,2,1,2,3,55,1,0,0,0,144,0,2,16
1999,289900,3,1,3,3,35,1,0,0,0,178,1,0,2
1961,425000,2,2,1,4,52,0,1,0,0,206,1,1,54
2002,900000,3,3,2,5,28,1,1,1,0,219,1,1,52
1948,525000,4,1,2,4,40,1,1,0,0,260,0,1,50
1965,144000,1,1,2,2,86,0,1,0,1,146,1,2,53
2018,250000,2,1,2,3,81,1,1,0,1,204,0,2,16
1995,789900,3,3,2,3,79,1,1,1,0,292,4,1,46
1920,298897,1,1,1,2,40,0,1,1,0,230,1,1,50
1976,269000,3,2,2,3,42,1,1,0,1,149,0,1,32
1961,265000,2,1,1,3,-7,1,1,0,0,167,0,1,10
1951,765000,3,2,1,4,161,1,1,1,1,379,4,1,14
1986,607900,3,3,2,3,87,1,1,1,1,234,5,1,36
1999,509000,3,2,2,3,46,1,1,1,0,218,1,1,49
1986,230000,1,1,2,1,50,0,0,1,0,283,0,0,52
1890,599000,5,1,1,6,217,0,1,1,1,145,0,1,35
1950,698000,2,1,1,3,76,1,1,1,1,348,6,1,36
1989,402000,4,1,2,4,51,1,1,0,1,91,1,1,29
1966,74250,2,2,1,5,105,0,0,0,1,22,0,1,8
1962,60000,2,1,1,3,322,0,0,0,0,34,0,1,40
1987,665000,5,2,2,4,48,0,1,1,0,168,1,1,19
1967,675000,3,2,1,4,189,1,1,0,1,199,3,1,14
1958,292500,2,1,1,3,28,0,0,1,0,194,1,1,50
1901,355000,3,1,2,4,31,1,1,1,1,92,0,1,15
1969,328350,3,2,2,4,85,1,1,1,1,119,0,1,32
1963,335000,3,2,2,4,66,1,1,1,0,181,0,1,16
1950,467500,2,1,2,4,27,1,1,1,1,252,1,1,5
1979,205000,2,1,1,3,128,1,0,1,0,191,0,1,49
1828,260000,1,1,3,1,53,0,0,0,0,625,0,0,48
2005,242000,2,1,1,2,62,1,1,0,0,156,0,0,23
1974,295000,3,2,1,4,38,1,1,1,0,124,0,1,10
1950,259000,2,2,1,2,46,1,1,0,1,178,0,1,0
1989,360000,2,1,2,2,63,1,0,1,0,224,1,0,31
1984,185000,3,1,1,2,69,1,1,1,1,120,0,0,0
1945,239000,1,1,1,2,35,0,0,0,0,305,0,1,50
1976,324900,2,2,1,5,41,1,0,0,1,153,0,1,32
1961,345000,2,1,2,2,40,1,0,0,0,324,1,1,21
1959,430000,1,1,1,3,75,1,1,1,1,306,3,1,36
1986,275000,3,1,1,3,147,1,0,0,1,211,0,1,23
1947,263000,2,1,1,4,34,1,0,0,1,187,1,1,53
1910,524950,3,1,2,3,31,1,1,0,0,262,2,1,50
2005,385000,3,2,2,4,65,1,1,0,1,194,0,1,36
2020,190000,3,1,2,2,50,0,1,0,0,125,2,2,19
1900,150000,1,1,3,5,57,0,0,0,1,82,0,2,60
1969,575000,3,1,1,7,36,0,0,0,0,266,0,1,54
1965,210000,2,2,2,4,86,1,0,1,0,97,0,1,44
1896,415000,1,1,1,1,90,1,1,0,0,626,1,0,14
1965,285000,2,1,2,4,47,0,1,0,1,163,0,1,16
1978,550000,3,2,2,4,34,1,1,1,1,345,0,1,2
1938,195000,1,1,2,4,60,0,0,0,1,129,0,1,23
1978,340000,3,1,2,4,41,1,0,0,1,168,0,1,16
1920,320000,2,2,2,6,47,0,0,0,1,155,0,1,48
2011,445000,2,2,1,3,35,1,1,0,0,207,1,1,59
1950,689000,2,2,2,4,37,1,0,1,0,386,1,1,52
2002,225900,3,1,2,3,73,1,1,1,0,149,0,2,5
1983,314000,2,1,3,1,30,1,1,1,1,289,0,2,2
1992,295000,2,2,1,3,19,1,1,1,1,158,0,1,32
2022,425000,2,2,1,3,69,1,1,0,0,269,1,1,49
1986,518444,2,1,1,2,75,1,1,1,0,405,4,0,2
1954,161000,2,1,1,3,35,0,0,0,0,125,0,1,34
1924,108000,2,1,2,2,42,0,0,0,1,109,0,1,29
1960,395000,2,2,1,3,43,1,0,0,0,361,2,1,52
1836,100000,1,1,2,2,48,0,0,0,1,80,0,2,60
1949,175100,3,1,2,3,45,1,1,0,1,172,0,1,29
2007,280000,3,1,2,3,130,1,1,1,0,185,0,2,49
1965,220000,1,1,1,1,41,1,1,0,0,279,0,0,5
1959,145000,1,1,1,3,51,1,0,0,0,151,0,1,30
1932,315000,2,3,1,3,48,1,1,0,1,159,1,1,53
1971,465000,2,2,1,3,112,0,0,1,0,249,1,1,7
1978,210000,3,2,2,2,39,1,1,0,0,179,1,2,53
1966,58075,0,1,1,0,67,0,0,0,0,32,0,1,10
1910,99000,1,1,2,3,113,1,0,0,1,81,1,1,8
1987,385000,3,2,2,4,51,1,1,1,1,173,0,1,23
1998,129900,2,2,1,3,28,1,1,1,0,87,0,1,40
1986,263000,2,1,2,4,35,0,1,0,1,124,0,1,19
1953,212000,2,1,1,2,28,1,1,0,1,216,0,1,15
1973,140000,2,2,2,3,105,1,0,0,0,107,0,0,28
2019,710000,4,2,3,3,18,1,1,1,0,259,1,2,55
1966,54167,0,1,1,0,63,0,0,0,0,30,0,1,10
1900,420000,1,1,1,2,126,0,0,0,1,530,2,0,6
1979,430000,3,3,1,3,59,0,0,1,1,187,2,1,54
1935,262500,1,1,2,3,62,1,0,1,1,209,0,1,32
2021,227500,2,1,1,2,-1,1,1,0,0,169,1,1,18
2004,200000,2,2,2,3,43,1,1,0,1,148,0,1,11
2015,225000,1,1,3,1,-2,1,1,1,0,289,0,0,14
1966,260000,3,2,1,3,34,0,1,1,1,113,1,1,19
2019,610000,3,2,2,4,44,1,1,0,0,283,1,1,52
1952,245000,2,1,1,3,41,1,1,0,1,108,1,1,29
2019,825000,4,3,2,5,64,0,0,0,0,267,0,1,47
2006,205000,1,1,1,1,44,1,1,0,0,238,6,0,36
1981,466000,1,1,1,2,49,1,1,1,1,431,3,0,14
1981,560000,3,3,2,3,39,1,0,1,0,194,1,1,49
2019,645000,3,3,1,4,91,0,0,1,0,276,2,1,54
2007,319999,3,1,2,3,49,1,1,0,0,153,0,2,16
1969,225000,2,1,1,4,52,0,0,1,0,132,0,1,34
1985,468000,2,2,1,3,58,1,1,1,0,326,3,1,52
1966,154000,1,1,1,2,83,1,0,0,0,194,0,0,5
1925,545000,2,2,2,4,87,1,0,1,1,205,2,1,53
1950,89500,1,1,1,3,69,0,0,1,0,95,0,1,5
